ID,LICENSE ID,ACCOUNT NUMBER,SITE NUMBER,LEGAL NAME,DOING BUSINESS AS NAME,ADDRESS,CITY,STATE,ZIP CODE,WARD,PRECINCT,WARD PRECINCT,POLICE DISTRICT,LICENSE CODE,LICENSE DESCRIPTION,BUSINESS ACTIVITY ID,BUSINESS ACTIVITY,LICENSE NUMBER,APPLICATION TYPE,APPLICATION CREATED DATE,APPLICATION REQUIREMENTS COMPLETE,PAYMENT DATE,CONDITIONAL APPROVAL,LICENSE TERM START DATE,LICENSE TERM EXPIRATION DATE,LICENSE APPROVED FOR ISSUANCE,DATE ISSUED,LICENSE STATUS,LICENSE STATUS CHANGE DATE,SSA,LATITUDE,LONGITUDE,LOCATION
1384368-20051116,1639880,267065,1,LYSTRA C. BEECHAM,CHARDAY'S BARBER CUTS & BEAUTY SALON,5661 W CHICAGO AVE,CHICAGO,IL,60651,29,35,29-35,15,1010,Limited Business License,,,1384368,RENEW,,09/22/2005,01/18/2006,N,11/16/2005,11/15/2006,01/18/2006,01/19/2006,AAI,,,41.894710512,-87.767764563,"(41.894710512241254, -87.76776456348807)"
1548382-20091016,1988585,79616,4,THE SALVATION ARMY,THE SALVATION ARMY THRIFT STORE,5713 W CHICAGO AVE,CHICAGO,IL,60651,29,35,29-35,15,1010,Limited Business License,,,1548382,RENEW,,08/14/2009,10/01/2009,N,10/16/2009,10/15/2011,10/01/2009,12/14/2009,AAI,,,41.894698426,-87.768494215,"(41.89469842586008, -87.76849421472855)"
1740537-20101216,2062953,302243,2,TOMAS MARTINEZ,MAYES COIN LAUNDROMAT,5951 W CHICAGO AVE,CHICAGO,IL,60651,29,29,29-29,15,1010,Limited Business License,,,1740537,RENEW,,10/15/2010,12/07/2010,N,12/16/2010,12/15/2012,12/07/2010,12/08/2010,AAI,,,41.894615,-87.774308494,"(41.894615000303915, -87.77430849375654)"
2423-20031116,1432859,50329,1,MELVIN OWENS,DENO'S HAIR KINGDOM,5616 W CHICAGO AVE # STORE,CHICAGO,IL,60651,29,5,29-5,15,1010,Limited Business License,,,2423,RENEW,,09/26/2003,08/11/2004,N,11/16/2003,11/15/2004,12/22/2003,08/12/2004,AAI,,,41.894952128,-87.766148731,"(41.89495212836471, -87.76614873108504)"
1573645-20091116,1995236,263230,2,"CENTRAL CHICAGO CURRENCY EXCHANGE,INC.","CENTRAL CHICAGO CURRENCY EXCHANGE, INC.",5601 W CHICAGO AVE,CHICAGO,IL,60651,29,35,29-35,15,1010,Limited Business License,,,1573645,RENEW,,09/15/2009,09/22/2009,N,11/16/2009,11/15/2011,09/22/2009,09/23/2009,AAI,,,41.894742828,-87.765453397,"(41.894742828323416, -87.7654533968402)"
14251-20070516,1811514,85659,78,H&R BLOCK ENTERPRISES LLC,"H & R BLOCK TAX SERVICES, INC",5753 W CHICAGO AVE 1ST #,CHICAGO,IL,60651,29,35,29-35,15,1010,Limited Business License,,,14251,RENEW,,03/23/2007,05/15/2007,N,05/16/2007,03/15/2008,05/15/2007,05/15/2007,AAI,,,41.8946754,-87.770085469,"(41.89467540014591, -87.77008546898129)"
2073718-20150116,2367243,338372,2,WIRELESS DEPOT COMMUNICATIONS INC.,MAGIC CELLULAR,5967 W CHICAGO AVE 1ST,CHICAGO,IL,60651,29,29,29-29,15,1010,Limited Business License,,,2073718,RENEW,,11/15/2014,01/02/2015,N,01/16/2015,01/15/2017,01/02/2015,03/06/2015,AAI,,,41.894605595,-87.774909299,"(41.89460559487295, -87.77490929875101)"
1974585-20091116,1997466,343815,1,"BETTY'S DAY CARE ACADEMY, INC.","BETTY'S DAY CARE ACADEMY, INC.",5725 W CHICAGO AVE 1ST,CHICAGO,IL,60651,29,35,29-35,15,1586,Day Care Center Under 2 and 2 - 6 Years,,,1974585,RENEW,,09/15/2009,09/29/2009,N,11/16/2009,11/15/2011,11/02/2009,11/03/2009,AAI,,,41.894690487,-87.768986957,"(41.89469048714729, -87.76898695672315)"
1384368-20031105,1384368,267065,1,LYSTRA C. BEECHAM,CHARDAY'S BARBER CUTS & BEAUTY SALON,5661 W CHICAGO AVE,CHICAGO,IL,60651,29,35,29-35,15,1010,Limited Business License,,,1384368,ISSUE,08/21/2003,11/04/2003,11/04/2003,N,11/05/2003,11/15/2004,11/04/2003,11/05/2003,AAI,,,41.894710512,-87.767764563,"(41.894710512241254, -87.76776456348807)"
2073718-20130116,2201295,338372,2,WIRELESS DEPOT COMMUNICATIONS INC.,MAGIC CELLULAR,5967 W CHICAGO AVE 1ST,CHICAGO,IL,60651,29,29,29-29,15,1010,Limited Business License,,,2073718,RENEW,,11/15/2012,12/19/2012,N,01/16/2013,01/15/2015,12/19/2012,12/20/2012,AAI,,,41.894605595,-87.774909299,"(41.89460559487295, -87.77490929875101)"
1937840-20081027,1937840,243648,2,DONYELL L  WYNN,FASHIONABLY UNPREDICTABLE,5814 W CHICAGO AVE 1 1,CHICAGO,IL,60651,29,45,29-45,15,1010,Limited Business License,,,1937840,ISSUE,10/24/2008,10/27/2008,10/27/2008,N,10/27/2008,05/15/2009,10/27/2008,10/27/2008,AAI,,,41.894885568,-87.770922722,"(41.89488556835818, -87.7709227216329)"
53878-20021116,1287666,38893,1,PLAYLAND NURSERY,PLAYLAND NURSERY,5838  -00036 W CHICAGO AVE  1,CHICAGO,IL,60651,29,45,29-45,15,1584,Day Care Center 2 - 6 Years,,,53878,RENEW,,09/24/2002,10/12/2002,N,11/16/2002,11/15/2003,12/20/2002,12/23/2002,AAI,,,41.894872435,-87.771795913,"(41.894872435106244, -87.77179591291225)"
2008889-20140116,2297448,334886,2,"FORREST CLEANERS, INC.","FORREST CLEANERS, INC.",5925 W CHICAGO AVE 1,CHICAGO,IL,60651,29,29,29-29,15,1010,Limited Business License,,,2008889,RENEW,,11/15/2013,02/06/2014,N,01/16/2014,01/15/2016,02/06/2014,02/07/2014,AAI,,,41.894629485,-87.773332258,"(41.89462948546298, -87.77333225771955)"
59367-20021116,1288051,41066,1,ANGELINE MILES/JOANN FOX,GUYS & DOLLS,5740 W CHICAGO AVE,CHICAGO,IL,60651,29,45,29-45,15,1010,Limited Business License,,,59367,RENEW,,09/24/2002,10/21/2002,N,11/16/2002,11/15/2003,10/21/2002,10/22/2002,AAI,,,41.89490512,-87.769348856,"(41.894905119902646, -87.76934885575506)"
16430-20031116,1431355,37164,1,MARVIN MEDLOCK,MEDLOCK CONTRUCTION,5801 W CHICAGO AVE  1ST,CHICAGO,IL,60651,29,29,29-29,15,1011,Home Repair,,,16430,RENEW,,09/26/2003,10/30/2003,N,11/16/2003,11/15/2004,12/22/2003,09/20/2005,AAI,,,41.894674466,-87.770200318,"(41.89467446603847, -87.77020031763878)"
1992545-20090924,1992545,347275,1,"AUSTIN PRODUCE, LLC",AUSTIN PRODUCE,5649 W CHICAGO AVE 1ST,CHICAGO,IL,60651,29,35,29-35,15,1781,Tobacco Retail Over Counter,,,1992545,ISSUE,09/14/2009,09/14/2009,09/14/2009,N,09/24/2009,11/15/2011,09/23/2009,09/24/2009,AAC,11/01/2010,,41.894717077,-87.767271449,"(41.89471707693221, -87.76727144939176)"
44278-20021116,1286958,35386,1,ERRICK & SHERRY ROMAN,ROMAN'S,5936 W CHICAGO AVE 1ST,CHICAGO,IL,60651,29,45,29-45,15,1010,Limited Business License,,,44278,RENEW,,09/24/2002,12/18/2002,N,11/16/2002,11/15/2003,12/18/2002,12/19/2002,AAI,,,41.894842548,-87.773788737,"(41.89484254849683, -87.77378873658496)"
1771300-20071116,1863552,282748,3,MODOUKPE DJIDONOU,AFRICAN HAIR BRAIDING,5616 W CHICAGO AVE  101,CHICAGO,IL,60651,29,5,29-5,15,1010,Limited Business License,,,1771300,RENEW,,09/21/2007,11/15/2007,N,11/16/2007,11/15/2009,11/15/2007,11/16/2007,AAI,,,41.894952128,-87.766148731,"(41.89495212836471, -87.76614873108504)"
16430-20041116,1623046,37164,1,MARVIN MEDLOCK,MEDLOCK CONTRUCTION,5801 W CHICAGO AVE  1ST,CHICAGO,IL,60651,29,29,29-29,15,1011,Home Repair,,,16430,RENEW,,09/20/2005,09/20/2005,N,11/16/2004,11/15/2005,09/20/2005,09/21/2005,AAI,,,41.894674466,-87.770200318,"(41.89467446603847, -87.77020031763878)"
1548382-20050128,1548382,79616,4,THE SALVATION ARMY,THE SALVATION ARMY THRIFT STORE,5713 W CHICAGO AVE,CHICAGO,IL,60651,29,35,29-35,15,1010,Limited Business License,,,1548382,ISSUE,12/16/2004,01/04/2005,01/27/2005,N,01/28/2005,11/15/2005,01/27/2005,01/28/2005,AAI,,,41.894698426,-87.768494215,"(41.89469842586008, -87.76849421472855)"
1846987-20091116,1996674,321948,1,KARL BELL,THATZ WET,5624 W CHICAGO AVE GROUND,CHICAGO,IL,60651,29,5,29-5,15,1010,Limited Business License,,,1846987,RENEW,,09/15/2009,11/18/2009,N,11/16/2009,11/15/2011,11/18/2009,11/19/2009,AAI,,,41.894946126,-87.766493675,"(41.89494612641761, -87.7664936748993)"
59367-20051116,1630655,41066,1,ANGELINE MILES/JOANN FOX,GUYS & DOLLS,5740 W CHICAGO AVE,CHICAGO,IL,60651,29,45,29-45,15,1010,Limited Business License,,,59367,RENEW,,09/22/2005,10/20/2005,N,11/16/2005,11/15/2006,10/20/2005,10/21/2005,AAI,,,41.89490512,-87.769348856,"(41.894905119902646, -87.76934885575506)"
1545848-20111116,2116676,51393,3,CHU-IN-YUN,IDEEL CLEANERS,5609 W CHICAGO AVE,CHICAGO,IL,60651,29,35,29-35,15,1010,Limited Business License,,,1545848,RENEW,,09/15/2011,11/10/2011,N,11/16/2011,11/15/2013,11/10/2011,11/14/2011,AAI,,,41.89473748,-87.765798787,"(41.89473747960189, -87.76579878716564)"
1879394-20071207,1879394,325051,1,DWAYNE M. TRUSS,TRUSS PHOTOGRAPHY,5820 W CHICAGO AVE 1,CHICAGO,IL,60651,29,45,29-45,15,1010,Limited Business License,,,1879394,ISSUE,12/07/2007,12/07/2007,12/07/2007,N,12/07/2007,11/15/2009,12/07/2007,12/07/2007,AAI,,,41.894881628,-87.771160949,"(41.89488162755578, -87.77116094881461)"
1879501-20080206,1879501,325018,18,"TAX SERVICES OF AMERICA, INC.",JACKSON HEWITT TAX SERVICE,5816 W CHICAGO AVE 1,CHICAGO,IL,60651,29,45,29-45,15,1010,Limited Business License,,,1879501,ISSUE,12/10/2007,02/06/2008,02/06/2008,N,02/06/2008,12/15/2009,02/06/2008,02/06/2008,AAI,,,41.894884245,-87.771002148,"(41.894884245372374, -87.77100214827898)"
58380-20031116,1435919,89489,2,CARL BROADWATER,DOUBLE DOOR DRY CLEANERS,5925 W CHICAGO AVE  1,CHICAGO,IL,60651,29,29,29-29,15,1010,Limited Business License,,,58380,RENEW,,09/26/2003,11/17/2003,N,11/16/2003,11/15/2004,11/17/2003,11/18/2003,AAI,,,41.894629485,-87.773332258,"(41.89462948546298, -87.77333225771955)"
1304424-20021122,1304424,256157,1,"600, INC.",600,5941 W CHICAGO AVE,CHICAGO,IL,60651,29,29,29-29,15,1010,Limited Business License,,,1304424,ISSUE,11/21/2002,11/21/2002,11/21/2002,N,11/22/2002,11/15/2003,11/22/2002,11/22/2002,AAI,,,41.894620757,-87.773932934,"(41.89462075732308, -87.77393293436263)"
2048905-20151116,2426756,355360,1,Dong-Hyun Kim,DNJ Beauty Supply,5600 W CHICAGO AVE 1,CHICAGO,IL,60651,29,5,29-5,15,1010,Limited Business License,,,2048905,RENEW,,09/15/2015,10/12/2015,N,11/16/2015,11/15/2017,10/12/2015,10/13/2015,AAI,,,41.894962293,-87.765460791,"(41.89496229349977, -87.76546079122906)"
1384368-20091116,1995306,267065,1,LYSTRA C. BEECHAM,CHARDAY'S BARBER CUTS & BEAUTY SALON,5661 W CHICAGO AVE,CHICAGO,IL,60651,29,35,29-35,15,1010,Limited Business License,,,1384368,RENEW,,09/15/2009,11/03/2009,N,11/16/2009,11/15/2011,11/03/2009,11/03/2009,AAI,,,41.894710512,-87.767764563,"(41.894710512241254, -87.76776456348807)"
1771300-20070613,1771300,282748,3,MODOUKPE DJIDONOU,AFRICAN HAIR BRAIDING,5616 W CHICAGO AVE  101,CHICAGO,IL,60651,29,5,29-5,15,1010,Limited Business License,,,1771300,ISSUE,11/30/2006,06/13/2007,06/13/2007,N,06/13/2007,11/15/2007,06/13/2007,06/13/2007,AAI,,,41.894952128,-87.766148731,"(41.89495212836471, -87.76614873108504)"
1246364-20021116,1298397,247170,1,COMMUNITY DOLLAR INC,AUSTIN DOLLAR PLUS,5961 W CHICAGO AVE,CHICAGO,IL,60651,29,29,29-29,15,1010,Limited Business License,,,1246364,RENEW,,09/24/2002,10/21/2002,N,11/16/2002,11/15/2003,10/21/2002,10/22/2002,AAI,,,41.894609147,-87.774683966,"(41.89460914732169, -87.77468396587314)"
80812-20031116,1432703,48931,1,600 COLLECTION,600 COLLECTION,5941 W CHICAGO AVE 1ST,CHICAGO,IL,60651,29,29,29-29,15,1010,Limited Business License,,,80812,RENEW,,09/26/2003,09/15/2009,N,11/16/2003,11/15/2004,12/22/2003,12/21/2004,AAI,,,41.894620757,-87.773932934,"(41.89462075732308, -87.77393293436263)"
12776-20031116,1429693,27108,1,HAROLD R BLAKE,AVANTI ELEGANT BOUTIQUE,5949 W CHICAGO AVE,CHICAGO,IL,60651,29,29,29-29,15,1010,Limited Business License,,,12776,RENEW,,09/26/2003,01/05/2004,N,11/16/2003,11/15/2004,12/22/2003,01/06/2004,AAI,,,41.894616152,-87.774233382,"(41.894616151806034, -87.77423338188208)"
1804599-20070322,1804599,314413,1,"G & P AUTO PARTS, INC.",ACTIVE AUTO PARTS,5912-14 W CHICAGO AVE 1,CHICAGO,IL,60651,29,45,29-45,15,1010,Limited Business License,,,1804599,ISSUE,03/22/2007,03/22/2007,03/22/2007,N,03/22/2007,11/15/2007,03/22/2007,03/22/2007,AAI,,,41.894855483,-87.772887745,"(41.89485548259188, -87.77288774548364)"
16430-20051116,1630102,37164,1,MARVIN MEDLOCK,MEDLOCK CONTRUCTION,5801 W CHICAGO AVE  1ST,CHICAGO,IL,60651,29,29,29-29,15,1011,Home Repair,,,16430,RENEW,,09/22/2005,11/15/2005,N,11/16/2005,11/15/2006,12/02/2005,12/05/2005,AAI,,,41.894674466,-87.770200318,"(41.89467446603847, -87.77020031763878)"
1195519-20020115,1195519,220542,10,SMART TAX INC.,JACKSON HEWITT TAX SERVICE,5816 W CHICAGO AVE,CHICAGO,IL,60651,29,45,29-45,15,1010,Limited Business License,,,1195519,ISSUE,11/13/2001,11/16/2001,01/11/2002,N,01/15/2002,11/15/2002,01/15/2002,01/16/2002,AAI,,,41.894884245,-87.771002148,"(41.894884245372374, -87.77100214827898)"
1303926-20041116,1537508,255973,1,BEMIS LESTER,UNIQUE EPOXY FLOORING SYSTEM,5924 W CHICAGO AVE,CHICAGO,IL,60651,29,45,29-45,15,1011,Home Repair,,,1303926,RENEW,,09/27/2004,11/15/2004,N,11/16/2004,11/15/2005,12/10/2004,12/13/2004,AAI,,,41.894848981,-87.77333782,"(41.89484898099712, -87.77333781998448)"
80812-20021116,1289061,48931,1,600 COLLECTION,600 COLLECTION,5941 W CHICAGO AVE 1ST,CHICAGO,IL,60651,29,29,29-29,15,1010,Limited Business License,,,80812,RENEW,,09/24/2002,10/07/2002,N,11/16/2002,11/15/2003,10/07/2002,10/08/2002,AAI,,,41.894620757,-87.773932934,"(41.89462075732308, -87.77393293436263)"
14251-20040516,1485982,85659,78,H&R BLOCK ENTERPRISES LLC,"H & R BLOCK TAX SERVICES, INC",5753 W CHICAGO AVE 1ST #,CHICAGO,IL,60651,29,35,29-35,15,1010,Limited Business License,,,14251,RENEW,,03/17/2004,05/05/2004,N,05/16/2004,05/15/2005,05/05/2004,05/05/2004,AAI,,,41.8946754,-87.770085469,"(41.89467540014591, -87.77008546898129)"
1678454-20061116,1764058,300686,1,MACK D CURTIS,"HATS, SOCKS AND T'S PLUS",5803 W CHICAGO AVE,CHICAGO,IL,60651,29,29,29-29,15,1010,Limited Business License,,,1678454,RENEW,,09/20/2006,12/28/2006,N,11/16/2006,11/15/2007,12/28/2006,12/29/2006,AAI,,,41.894672901,-87.77036131,"(41.894672901184975, -87.77036130980994)"
1873175-20071024,1873175,67715,2,FOUSSENA NANDOMA,FLORENCE AFRICAN HAIR BRAIDING,5923 W CHICAGO AVE 1,CHICAGO,IL,60651,29,29,29-29,15,1010,Limited Business License,,,1873175,ISSUE,10/24/2007,10/24/2007,10/24/2007,N,10/24/2007,11/15/2009,10/24/2007,10/24/2007,AAI,,,41.894630548,-87.773257143,"(41.89463054803182, -87.77325714348717)"
1355856-20030515,1355856,263137,1,LATOYA MCCARROLL,MOHAIR NAILS & BOUTIQUE,5811 W CHICAGO AVE  1ST,CHICAGO,IL,60651,29,29,29-29,15,1010,Limited Business License,,,1355856,ISSUE,05/15/2003,05/15/2003,05/15/2003,N,05/15/2003,11/15/2003,05/15/2003,05/15/2003,AAI,,,41.894669765,-87.77066533,"(41.89466976462685, -87.77066533021669)"
12776-20021116,1284905,27108,1,HAROLD R BLAKE,AVANTI ELEGANT BOUTIQUE,5949 W CHICAGO AVE,CHICAGO,IL,60651,29,29,29-29,15,1010,Limited Business License,,,12776,RENEW,,09/24/2002,04/03/2003,N,11/16/2002,11/15/2003,04/03/2003,04/03/2003,AAI,,,41.894616152,-87.774233382,"(41.894616151806034, -87.77423338188208)"
1543954-20070216,1791982,283340,2,FREEDOM TAX SERVICES INC,LIBERTY TAX SERVICE,5805 W CHICAGO AVE,CHICAGO,IL,60651,29,29,29-29,15,1010,Limited Business License,,,1543954,RENEW,,12/20/2006,02/05/2007,N,02/16/2007,01/15/2009,02/05/2007,02/06/2007,AAC,12/08/2008,,41.89467209,-87.770437438,"(41.894672089979515, -87.77043743792723)"
12776-20111116,2116148,27108,1,HAROLD R BLAKE,AVANTI ELEGANT BOUTIQUE,5949 W CHICAGO AVE,CHICAGO,IL,60651,29,29,29-29,15,1010,Limited Business License,,,12776,RENEW,,09/15/2011,10/17/2011,N,11/16/2011,11/15/2013,10/17/2011,10/17/2011,AAI,,,41.894616152,-87.774233382,"(41.894616151806034, -87.77423338188208)"
2042092-20100621,2042092,354368,1,TINA FLEMING,J W FITNESS,5927 W CHICAGO AVE 1,CHICAGO,IL,60651,29,29,29-29,15,1010,Limited Business License,,,2042092,ISSUE,06/21/2010,06/21/2010,06/21/2010,N,06/21/2010,07/15/2012,06/21/2010,06/21/2010,AAI,,,41.894628423,-87.773407372,"(41.89462842284497, -87.77340737194997)"
1947832-20110116,2068182,339687,4,"DELTA FINANCIALS, INC.",LIBERTY TAX SERVICE 5948,5805 W CHICAGO AVE 1ST,CHICAGO,IL,60651,29,29,29-29,15,1010,Limited Business License,,,1947832,RENEW,,11/15/2010,12/27/2010,N,01/16/2011,01/15/2013,12/27/2010,12/27/2010,AAI,,,41.89467209,-87.770437438,"(41.894672089979515, -87.77043743792723)"
59370-20041116,1524489,18849,2,JUNG W & WOO J NO,CHICAGO BEAUTY SUPPLY,5600 W CHICAGO AVE # 1ST,CHICAGO,IL,60651,29,5,29-5,15,1010,Limited Business License,,,59370,RENEW,,09/27/2004,11/16/2004,N,11/16/2004,11/15/2005,11/16/2004,11/16/2004,AAI,,,41.894962293,-87.765460791,"(41.89496229349977, -87.76546079122906)"
1303925-20071116,1861086,255973,1,BEMIS LESTER,UNIQUE EPOXY FLOORING SYSTEM,5924 W CHICAGO AVE,CHICAGO,IL,60651,29,45,29-45,15,1010,Limited Business License,,,1303925,RENEW,,09/21/2007,11/05/2007,N,11/16/2007,11/15/2009,11/05/2007,11/06/2007,AAI,,,41.894848981,-87.77333782,"(41.89484898099712, -87.77333781998448)"
80456-20041116,1532565,67715,1,FOUSSENA NANDOMA,FLORENCE AFRICA HAIR BRAIDING,5744 W CHICAGO AVE  1 GRO,CHICAGO,IL,60651,29,45,29-45,15,1010,Limited Business License,,,80456,RENEW,,09/27/2004,11/15/2004,N,11/16/2004,11/15/2005,11/15/2004,11/16/2004,AAI,,,41.894902697,-87.769513994,"(41.89490269670821, -87.76951399402235)"
1494536-20041116,1541371,277758,1,"ONLY BY FAITH, INC.",ONLY BY FAITH,5700 W CHICAGO AVE 2,CHICAGO,IL,60651,29,45,29-45,15,1010,Limited Business License,,,1494536,RENEW,,09/27/2004,11/08/2004,N,11/16/2004,11/15/2005,11/08/2004,11/09/2004,AAI,,,41.89492663,-87.768008331,"(41.89492662954099, -87.76800833135303)"
1803648-20070312,1803648,250601,2,STACIA G CRAWFORD,AFRICAN ACCENTS,5847 W CHICAGO AVE,CHICAGO,IL,60651,29,29,29-29,15,1010,Limited Business License,,,1803648,ISSUE,03/12/2007,03/12/2007,03/12/2007,N,03/12/2007,11/15/2007,03/12/2007,03/12/2007,AAC,10/26/2007,,41.894649367,-87.772034695,"(41.894649367208196, -87.77203469457346)"
41118-20021116,1356119,34416,1,ROCK & FOLD LAUNDROMAT INC,ROCK & FOLD LAUNDROMAT,5612 W CHICAGO AVE,CHICAGO,IL,60651,29,5,29-5,15,1010,Limited Business License,,,41118,RENEW,,05/19/2003,05/19/2003,N,11/16/2002,11/15/2003,05/19/2003,05/20/2003,AAI,,,41.894954588,-87.765976521,"(41.894954588218056, -87.76597652133323)"
1444934-20031104,1444934,269664,1,"ACCURATE TAX SERVICE, INC.",ACCURATE TAX SERVICE,5805 W CHICAGO AVE,CHICAGO,IL,60651,29,29,29-29,15,1010,Limited Business License,,,1444934,ISSUE,11/03/2003,11/03/2003,11/03/2003,N,11/04/2003,11/15/2004,11/03/2003,11/04/2003,AAI,,,41.89467209,-87.770437438,"(41.894672089979515, -87.77043743792723)"
1477226-20060816,1732009,264605,2,CINDY ZAPATA,QUICK COMM,5927 W CHICAGO AVE,CHICAGO,IL,60651,29,29,29-29,15,1010,Limited Business License,,,1477226,RENEW,,06/21/2006,08/07/2006,N,08/16/2006,08/15/2007,08/07/2006,08/08/2006,AAI,,,41.894628423,-87.773407372,"(41.89462842284497, -87.77340737194997)"
1937840-20110516,2086276,243648,2,DONYELL L  WYNN,FASHIONABLY UNPREDICTABLE,5814 W CHICAGO AVE 1 1,CHICAGO,IL,60651,29,45,29-45,15,1010,Limited Business License,,,1937840,RENEW,,03/15/2011,05/13/2011,N,05/16/2011,05/15/2013,05/13/2011,05/13/2011,AAI,,,41.894885568,-87.770922722,"(41.89488556835818, -87.7709227216329)"
1545848-20071116,1855715,51393,3,CHU-IN-YUN,IDEEL CLEANERS,5609 W CHICAGO AVE,CHICAGO,IL,60651,29,35,29-35,15,1010,Limited Business License,,,1545848,RENEW,,09/21/2007,11/07/2007,N,11/16/2007,11/15/2009,11/07/2007,11/08/2007,AAI,,,41.89473748,-87.765798787,"(41.89473747960189, -87.76579878716564)"
58380-20061116,1755009,89489,2,CARL BROADWATER,DOUBLE DOOR DRY CLEANERS,5925 W CHICAGO AVE  1,CHICAGO,IL,60651,29,29,29-29,15,1010,Limited Business License,,,58380,RENEW,,09/20/2006,12/29/2006,N,11/16/2006,11/15/2007,12/29/2006,02/26/2007,AAI,,,41.894629485,-87.773332258,"(41.89462948546298, -87.77333225771955)"
1740537-20081216,1936346,302243,2,TOMAS MARTINEZ,MAYES COIN LAUNDROMAT,5951 W CHICAGO AVE,CHICAGO,IL,60651,29,29,29-29,15,1010,Limited Business License,,,1740537,RENEW,,10/15/2008,12/03/2008,N,12/16/2008,12/15/2010,12/03/2008,12/04/2008,AAI,,,41.894615,-87.774308494,"(41.894615000303915, -87.77430849375654)"
1573645-20050111,1573645,263230,2,"CENTRAL CHICAGO CURRENCY EXCHANGE,INC.","CENTRAL CHICAGO CURRENCY EXCHANGE, INC.",5601 W CHICAGO AVE,CHICAGO,IL,60651,29,35,29-35,15,1010,Limited Business License,,,1573645,C_LOC,01/05/2005,01/10/2005,01/10/2005,N,01/11/2005,11/15/2005,01/10/2005,01/11/2005,AAI,,,41.894742828,-87.765453397,"(41.894742828323416, -87.7654533968402)"
80456-20051116,1634240,67715,1,FOUSSENA NANDOMA,FLORENCE AFRICA HAIR BRAIDING,5744 W CHICAGO AVE  1 GRO,CHICAGO,IL,60651,29,45,29-45,15,1010,Limited Business License,,,80456,RENEW,,09/22/2005,11/14/2005,N,11/16/2005,11/15/2006,11/14/2005,11/15/2005,AAI,,,41.894902697,-87.769513994,"(41.89490269670821, -87.76951399402235)"
41118-20011116,1356118,34416,1,ROCK & FOLD LAUNDROMAT INC,ROCK & FOLD LAUNDROMAT,5612 W CHICAGO AVE,CHICAGO,IL,60651,29,5,29-5,15,1010,Limited Business License,,,41118,RENEW,,05/19/2003,05/19/2003,N,11/16/2001,11/15/2002,,05/19/2003,AAI,,,41.894954588,-87.765976521,"(41.894954588218056, -87.76597652133323)"
59367-20041116,1528716,41066,1,ANGELINE MILES/JOANN FOX,GUYS & DOLLS,5740 W CHICAGO AVE,CHICAGO,IL,60651,29,45,29-45,15,1010,Limited Business License,,,59367,RENEW,,09/27/2004,10/25/2004,N,11/16/2004,11/15/2005,10/25/2004,10/26/2004,AAI,,,41.89490512,-87.769348856,"(41.894905119902646, -87.76934885575506)"
37907-20041116,1574241,54671,1,MINZ RECORD PRODUCTION,MINZ RECORD PRODUCTION,5725 W CHICAGO AVE 1ST,CHICAGO,IL,60651,29,35,29-35,15,1010,Limited Business License,,,37907,RENEW,,01/12/2005,01/12/2005,N,11/16/2004,11/15/2005,01/12/2005,01/13/2005,AAI,,,41.894690487,-87.768986957,"(41.89469048714729, -87.76898695672315)"
1545848-20041115,1545848,51393,3,CHU-IN-YUN,IDEEL CLEANERS,5609 W CHICAGO AVE,CHICAGO,IL,60651,29,35,29-35,15,1010,Limited Business License,,,1545848,C_LOC,11/12/2004,11/12/2004,11/12/2004,N,11/15/2004,11/15/2005,11/12/2004,11/15/2004,AAI,,,41.89473748,-87.765798787,"(41.89473747960189, -87.76579878716564)"
1740537-20060807,1740537,302243,2,TOMAS MARTINEZ,MAYES COIN LAUNDROMAT,5951 W CHICAGO AVE,CHICAGO,IL,60651,29,29,29-29,15,1010,Limited Business License,,,1740537,ISSUE,08/04/2006,08/04/2006,08/04/2006,N,08/07/2006,02/15/2007,08/04/2006,08/07/2006,AAI,,,41.894615,-87.774308494,"(41.894615000303915, -87.77430849375654)"
1545848-20051116,1631852,51393,3,CHU-IN-YUN,IDEEL CLEANERS,5609 W CHICAGO AVE,CHICAGO,IL,60651,29,35,29-35,15,1010,Limited Business License,,,1545848,RENEW,,09/22/2005,10/26/2005,N,11/16/2005,11/15/2006,10/26/2005,10/27/2005,AAI,,,41.89473748,-87.765798787,"(41.89473747960189, -87.76579878716564)"
14251-20100316,2015561,85659,78,H&R BLOCK ENTERPRISES LLC,"H & R BLOCK TAX SERVICES, INC",5753 W CHICAGO AVE 1ST #,CHICAGO,IL,60651,29,35,29-35,15,1010,Limited Business License,,,14251,RENEW,,01/15/2010,03/09/2010,N,03/16/2010,03/15/2012,03/09/2010,03/10/2010,AAI,,,41.8946754,-87.770085469,"(41.89467540014591, -87.77008546898129)"
1998570-20091015,1998570,347786,1,"CHICAGO AVE DISCOUNT STORE, INC.",CHICAGO AVE DISCOUNT STORE,5605 W CHICAGO AVE 1ST,CHICAGO,IL,60651,29,35,29-35,15,1010,Limited Business License,,,1998570,ISSUE,10/01/2009,10/14/2009,10/14/2009,N,10/15/2009,11/15/2011,10/14/2009,10/15/2009,AAI,,,41.894739816,-87.765626737,"(41.894739815720484, -87.76562673682143)"
